"DENOMINACION","tipo","regimen","localidad","LATITUD","LONGITUD"
"CEIP LA RAMBLA","col·legi d'educació infantil i primària","púb.","AGOST",38.438389,-0.635608
"CENTRE PRIVAT LA MILAGROSA","centre privat d'educació infantil i primària","priv. conc.","AGOST",38.435035,-0.637196
"CEIP MIRADOR D'AIGÜES","col·legi d'educació infantil i primària","púb.","AIGÜES",38.500573,-0.365124
"CEP VIRGEN DEL ROSARIO","col·legi d'educació primària","púb.","ALBATERA",38.183887,-0.875071
"CEIP JESÚS SÁNCHEZ","col·legi d'educació infantil i primària","púb.","SAN ISIDRO",38.17326,-0.837016
"CEIP EL ROMERAL","col·legi d'educació infantil i primària","púb.","ALCOI",38.695844,-0.487636
"CEIP SAN VICENTE","col·legi d'educació infantil i primària","púb.","ALCOI",38.690266,-0.472831
"CEE PÚB. TOMÀS LLÀCER","centre d'educació especial","púb.","ALCOI",38.70443,-0.481172
"CENTRE PRIVAT JOSÉ ARNAUDA","centre privat d'educació infantil, primària i secundària","priv. conc.","ALCOI",38.705883,-0.470953
"CENTRE PRIVAT LA PRESENTACIÓN","centre privat d'educació infantil, primària i secundària","priv. conc.","ALCOI",38.699059,-0.473228
"CENTRE PRIVAT ESCLAVES SCJ ALCOI","centre privat d'educació infantil, primària i secundària","priv. conc.","ALCOI",38.708344,-0.464162
"IES PARE VITÒRIA","institut d'educació secundària","púb.","ALCOI",38.687524,-0.475878
"IES COTES BAIXES","institut d'educació secundària","púb.","ALCOI",38.713786,-0.463346
"CENTRE PRIVAT SALESIANOS JUAN XXIII","centre privat d'educació infantil, primària i secundària","priv. conc.","ALCOI",38.708595,-0.462327
"CENTRE PRIVAT LA SALLE","centre privat d'educació infantil, primària i secundària","priv. conc.","ALCOI",38.707147,-0.478487
"CENTRE PRIV. ED. INFANTIL EL SALVADOR","centre privat d'educació infantil","priv.","ALCOI",38.703978,-0.477031
"CENTRE PRIVAT SANT ROC","centre privat d'educació infantil, primària i secundària","priv. conc.","ALCOI",38.698557,-0.481553
"CENTRE PRIVAT SAN VICENTE FERRER","centre privat d'educació infantil, primària i secundària","priv. conc.","ALCOI",38.693842,-0.47606
"CENTRE PRIVAT SAN VICENTE DE PAÚL","centre privat d'educació infantil, primària i secundària","priv. conc.","ALCOI",38.697443,-0.487953
"CENTRE PRIVAT SANTA ANA","centre privat d'educació infantil, primària i secundària","priv. conc.","ALCOI",38.693344,-0.481188
"CEIP SANTÍSIMO CRISTO BUEN ACIERTO","col·legi d'educació infantil i primària","púb.","ALFÀS DEL PI (L')",38.57893,-0.097102
"CEIP MIGUEL DE CERVANTES","col·legi d'educació infantil i primària","púb.","ALGORFA",38.08596,-0.795148
"CEIP VIRGEN DEL REMEDIO","col·legi d'educació infantil i primària","púb.","ALGUEÑA",38.337071,-1.00539
"IES JAIME II","institut d'educació secundària","púb.","ALACANT",38.362228,-0.470363
"CEIP EUSEBIO SEMPERE","col·legi d'educació infantil i primària","púb.","ALACANT",38.370572,-0.503569
"CEIP MANJÓN-CERVANTES","col·legi d'educació infantil i primària","púb.","ALACANT",38.35745,-0.482196
"CEIP SAN ROQUE","col·legi d'educació infantil i primària","púb.","ALACANT",38.346721,-0.47826
"CEIP 9 D'OCTUBRE","col·legi d'educació infantil i primària","púb.","ALACANT",38.359595,-0.480952
"CEIP BENALÚA","col·legi d'educació infantil i primària","púb.","ALACANT",38.338719,-0.497166
"CENTRE PRIVAT NUESTRA SEÑORA DE LOS ÁNGELES","centre privat d'educació infantil, primària i secundària","priv. conc.","ALACANT",38.366174,-0.494949
"CENTRE PRIVAT VIRGEN DEL ROSARIO","centre privat d'educació infantil i primària","priv. conc.","ALACANT",38.346276,-0.509212
"CENTRE PRIVAT INMACULADA","centre privat d'educació infantil, primària i secundària","priv. conc.","ALACANT",38.361318,-0.464536
"CENTRE PRIVAT CEU JESÚS MARÍA","centre privat d'educació infantil, primària i secundària","priv. conc.","ALACANT",38.371102,-0.45383
"CENTRE PRIV. ED. INF. 1ER CICLE CIUDAD INFANTIL SAN JORGE","centre privat d'educació infantil de primer cicle","priv.","ALACANT",38.35384,-0.498204
