"municipio","Poblacion_Total","n_centros_total","total_ofertas","empresas_total","lat","lon","centros_por_1000hab","viviendas_por_1000hab","empresas_por_1000hab","indice_oportunidad"
"ademuz",1003,4,0,538,4006077005,-1.28614068,3.98803589232303,0,536.390827517448,162.512462612164
"ador",1742,2,1,627,3891881333,-0.22439286,1.14810562571757,0.574052812858783,359.931113662457,108.610792192882
"agost",5100,5,0,2318,3843949316,-0.63891979,0.980392156862745,0,454.509803921569,136.745098039216
"agres",611,0,0,267,3878000404,-0.51595543,0,0,436.988543371522,131.096563011457
"agullent",2416,4,0,1483,3882328684,-0.547412038,1.65562913907285,0,613.824503311258,184.809602649007
"aielo de malferit",4587,5,0,2051,3887774947,-0.5914752,1.09003706126008,0,447.133202528886,134.57597558317
"aielo de rugat",164,0,0,113,3888172539,-0.34335159,0,0,689.024390243902,206.707317073171
"aigues",1183,1,0,468,3849887092,-0.36258669,0.84530853761623,0,395.604395604396,119.019442096365
"ain",132,0,0,62,3990016897,-0.34049718,0,0,469.69696969697,140.909090909091
"alaquas",30193,10,5,12770,3945714779,-0.460862517,0.331202596628358,0.165601298314179,422.945715894413,127.065876196469
"albaida",6211,7,86,3767,3884180459,-0.51986706,1.12703268394783,13.8464015456448,606.50458863307,186.556110127194
"albal",17157,7,4,6888,3939740473,-0.413172841,0.407996736026112,0.233140992014921,401.468788249694,120.673777466923
"albalat de la ribera",3462,4,2,1472,3920103013,-0.386688709,1.15540150202195,0.577700751010976,425.187752744079,128.191796649336
"albalat dels sorells",4261,4,0,1799,3954425467,-0.346943736,0.938746773057968,0,422.201361182821,127.035907064069
"albalat dels tarongers",1541,1,0,456,3970270205,-0.33712468,0.648929266709929,0,295.911745619727,89.0330953926022
"albatera",13262,8,1,5809,3817894636,-0.86792141,0.603227265872417,0.0754034082340522,438.018398431609,131.669431458302
"alberic",10939,6,22,4463,3911685193,-0.51744033,0.548496206234574,2.01115275619344,407.98976140415,123.219672730597
"albocasser",1331,4,0,669,4035792479,0.02412299,3.00525920360631,0,502.629601803156,151.990984222389
"alborache",1490,4,0,442,39391654,-0.77107,2.68456375838926,0,296.644295302013,90.0671140939597
"albuixech",4424,4,0,1751,3954500337,-0.32290668,0.904159132007233,0,395.795660036166,119.100361663653
"alcala de xivert",7319,5,0,4162,4030417404,0.22571524,0.683153436261784,0,568.656920344309,170.870337477798
"alcalali",1377,0,0,671,3874965349,-0.04160798,0,0,487.291212781409,146.187363834423
"alcantera de xuquer",1420,2,0,468,39070653,-0.55970929,1.40845070422535,0,329.577464788732,99.4366197183099
"alcasser",10712,7,0,4731,3936854313,-0.44426722,0.653472740851382,0,441.654219566841,132.757654966393
"alcoleja",190,0,0,69,3867548564,-0.33100925,0,0,363.157894736842,108.947368421053
"alcosser",260,0,0,139,3879447224,-0.40197036,0,0,534.615384615385,160.384615384615
"alcublas",690,2,0,207,39797096,-0.702182,2.89855072463768,0,300,91.1594202898551
"alcudia de veo",213,0,0,53,3991552966,-0.35475966,0,0,248.826291079812,74.6478873239437
"aldaia",33930,8,22,13649,3946491997,-0.46197516,0.235779546124374,0.648393751842028,402.269378131447,120.969643383436
"alfafar",22092,10,9,7157,3942259817,-0.39004439,0.452652543907297,0.407387289516567,323.963425674452,97.4923049067536
"alfafara",412,1,0,193,3877274828,-0.55552339,2.42718446601942,0,468.446601941748,141.504854368932
"alfara de la baronia",615,1,0,213,3976293575,-0.35498566,1.6260162601626,0,346.341463414634,104.552845528455
"alfara del patriarca",3569,7,0,1316,3954406602,-0.38497191,1.96133370692071,0,368.730736901093,111.403754553096
"alfarrasi",1174,3,0,484,3890397541,-0.49639575,2.55536626916525,0,412.265758091993,124.701873935264
"alfauir",488,0,0,184,3892780849,-0.25158611,0,0,377.049180327869,113.114754098361
"alfondeguilla",870,1,0,208,3983786953,-0.26847055,1.14942528735632,0,239.080459770115,72.183908045977
"algar de palancia",542,1,0,239,397810922,-0.36745953,1.8450184501845,0,440.959409594096,133.025830258303
"algemesi",27916,11,43,10626,391890727,-0.43644269,0.39403926063906,1.54033529158905,380.641925777332,114.812294024932
"algimia d'alfara",1098,2,0,445,3975243658,-0.3623082,1.82149362477231,0,405.28233151184,122.313296903461
"algimia de almonacid",257,0,0,105,3991434606,-0.4420873,0,0,408.560311284047,122.568093385214
"alginet",14674,8,2,6075,3926153042,-0.46964795,0.545181954477307,0.136295488619327,413.997546681205,124.458225432738
"algorfa",3719,3,1,1533,3808681637,-0.79568423,0.806668459263243,0.268889486421081,412.207582683517,124.065609034687
"alguena",1332,2,0,596,3833800138,-1.00303745,1.5015015015015,0,447.447447447447,134.834834834835
"almassera",7704,6,0,2808,3951227026,-0.3557517,0.778816199376947,0,364.485981308411,109.657320872274
"almassora",28440,6,4,12102,3994591018,-0.06448283,0.210970464135021,0.140646976090014,425.527426160338,127.784810126582
"almedijar",287,1,0,104,3987273437,-0.40830291,3.48432055749129,0,362.369337979094,110.104529616725
"almenara",6722,5,0,2132,3975325705,-0.22531046,0.743826242189824,0,317.167509669741,95.4477833977983
"almisera",286,0,0,96,3891635576,-0.2849761,0,0,335.664335664336,100.699300699301
"almoines",2655,3,0,1242,3894398885,-0.18134817,1.12994350282486,0,467.796610169492,140.790960451977
"almoradi",22397,6,25,10162,3810977991,-0.79201713,0.267893021386793,1.11622092244497,453.721480555432,136.558467651918
"almudaina",118,0,0,15,3876155764,-0.35370678,0,0,127.118644067797,38.135593220339
"almussafes",9014,7,1,3766,3929004877,-0.41293657,0.776569780341691,0.110938540048813,417.79454182383,125.6822720213
"alpuente",700,1,0,236,3987603328,-1.01327721,1.42857142857143,0,337.142857142857,101.714285714286
"altea",24349,9,0,16700,3859892497,-0.05144236,0.369625035935767,0,685.859788903035,205.905786685285
"altura",3840,3,0,1728,39851434,-0.510642,0.78125,0,450,135.3125
"alzira",47366,15,13,20418,3914944832,-0.43554456,0.316682852679137,0.274458472321919,431.068699066841,129.529620402821
"andilla",322,0,0,59,3983590084,-0.81348901,0,0,183.229813664596,54.9689440993789
"anna",2613,4,0,1009,3902174984,-0.64427404,1.53080750095675,0,386.146192116341,116.456180635285
"antella",1125,3,0,330,3907941331,-0.59190021,2.66666666666667,0,293.333333333333,89.0666666666666
"aranuel",159,0,0,12,4007115662,-0.48134427,0,0,75.4716981132075,22.6415094339623
"aras de los olmos",392,1,0,193,399241561,-1.13281495,2.55102040816327,0,492.34693877551,148.724489795918
"ares del maestrat",178,0,0,78,4045651086,-0.13128445,0,0,438.202247191011,131.460674157303
"argelita",148,0,0,31,4005392682,-0.35031484,0,0,209.459459459459,62.8378378378378
"artana",1967,3,0,635,3989131118,-0.25684102,1.52516522623284,0,322.826639552618,97.4580579562786
"aspe",21900,7,25,9840,3834577266,-0.76849107,0.319634703196347,1.14155251141552,449.315068493151,135.264840182648
"atzeneta d'albaida",1177,3,0,730,3883589893,-0.495902896,2.54885301614274,0,620.220900594732,187.085811384877
"atzeneta del maestrat",1309,2,0,697,4021662059,-0.17021314,1.52788388082506,0,532.467532467532,160.35141329259
"ayodar",182,0,0,45,3999956587,-0.37573917,0,0,247.252747252747,74.1758241758242
"ayora",5269,5,0,2892,3905979756,-1.05608454,0.948946669197191,0,548.870753463655,165.040804706775
"azuebar",352,0,0,147,3983492922,-0.3699964,0,0,417.613636363636,125.284090909091
"balones",132,0,0,0,3873701039,-0.34237388,0,0,0,0
"banyeres de mariola",7290,8,0,3830,3871635902,-0.65685684,1.09739368998628,0,525.377229080933,158.052126200274
"barracas",199,0,0,89,4001775835,-0.6983411,0,0,447.236180904523,134.170854271357
"barx",1497,1,0,603,3901431675,-0.30181016,0.668002672010688,0,402.805611222445,121.108884435538
"barxeta",1580,3,0,592,3902181544,-0.41727383,1.89873417721519,0,374.683544303797,113.164556962025
"bejis",397,1,0,173,3990963843,-0.70877483,2.51889168765743,0,435.768261964736,131.738035264484
"belgida",641,2,0,339,3885896646,-0.4752401,3.1201248049922,0,528.861154446178,159.90639625585
"bellreguard",4936,0,0,1963,3894530865,-0.16184473,0,0,397.690437601297,119.307131280389
"bellus",305,1,0,108,3894587097,-0.48553042,3.27868852459016,0,354.098360655738,107.540983606557
"benafer",172,0,0,66,3993555208,-0.57836586,0,0,383.720930232558,115.116279069767
"benafigos",129,0,0,37,4027646952,-0.20921861,0,0,286.821705426357,86.046511627907
"benageber",170,0,1,81,3970765805,-1.10117987,0,5.88235294117647,476.470588235294,144.705882352941
"benaguasil",12409,7,6,4662,3959364725,-0.58618131,0.564106696752357,0.483520025787735,375.69506003707,113.079216697558
"benasau",171,0,0,60,3868991329,-0.34261264,0,0,350.877192982456,105.263157894737
"benassal",1054,3,0,584,4037977391,-0.14242485,2.84629981024668,0,554.079696394687,167.362428842505
